-6.27456000000000E-0002  1.05942734569986E-0007
-5.83680000000000E-0002  1.05943719771475E-0007
-5.39904000000000E-0002  1.05944704982125E-0007
-4.96128000000000E-0002  1.05945690201937E-0007
-4.52352000000000E-0002  1.05946675430911E-0007
-4.08576000000000E-0002  1.05947660669048E-0007
-3.64800000000000E-0002  1.05948645916346E-0007
-3.21024000000000E-0002  1.05949631172806E-0007
-2.77248000000000E-0002  1.05950616438429E-0007
-2.33472000000000E-0002  1.05951601713214E-0007
-1.89696000000000E-0002  1.05952586997162E-0007
-1.45920000000000E-0002  1.05953572290272E-0007
-1.02144000000000E-0002  1.05954557592545E-0007
-5.83680000000002E-0003  1.05955542903980E-0007
-1.45920000000001E-0003  1.05956528224578E-0007
 2.91839999999998E-0003  1.05957515372206E-0007
 7.29599999999998E-0003  1.05958510237966E-0007
 1.16735999999999E-0002  1.05959513203104E-0007
 1.60512000000000E-0002  1.05960524131924E-0007
 2.04288000000000E-0002  1.05961542827386E-0007
 2.48064000000000E-0002  1.05962569032634E-0007
 2.91840000000000E-0002  1.05963602432970E-0007
 3.35616000000000E-0002  1.05964642658284E-0007
 3.79392000000000E-0002  1.05965689285909E-0007
 4.23168000000000E-0002  1.05966741843878E-0007
 4.66944000000000E-0002  1.05967799814564E-0007
 5.10720000000000E-0002  1.05968862638672E-0007
 5.54496000000000E-0002  1.05969929719551E-0007
 5.98272000000000E-0002  1.05971000427797E-0007
 6.42048000000000E-0002  1.05972074106105E-0007
 6.85824000000000E-0002  1.05973150074336E-0007
 7.29600000000000E-0002  1.05974227634766E-0007
 7.73376000000000E-0002  1.05975306077462E-0007
 8.17152000000000E-0002  1.05976384685759E-0007
 8.60928000000000E-0002  1.05977462741785E-0007
 9.04704000000000E-0002  1.05978539531999E-0007
 9.48480000000000E-0002  1.05979614352689E-0007
 9.92256000000000E-0002  1.05980686515405E-0007
 1.03603200000000E-0001  1.05981755352260E-0007
 1.07980800000000E-0001  1.05982820221086E-0007
 1.12358400000000E-0001  1.05983880510385E-0007
 1.16736000000000E-0001  1.05984935644042E-0007
 1.21113600000000E-0001  1.05985985085770E-0007
 1.25491200000000E-0001  1.05987028343245E-0007
